  place,date,   HumidMean,   HumidMax,   HumidMin
  Hupsel,20160518,   72,   99,   52
  Hupsel,20160519,   80,   98,   55
  Hupsel,20160520,   88,   98,   79
  Hupsel,20160521,   72,   97,   49
  Hupsel,20160522,   80,   98,   62
  Hupsel,20160523,   95,   99,   90
  Hupsel,20160524,   88,   97,   82
  Hupsel,20160525,   86,  100,   68
  Hupsel,20160526,   74,  100,   51
  Hupsel,20160527,   87,   92,   75
  Hupsel,20160528,   78,   99,   57
  Hupsel,20160529,   88,   96,   78
  Hupsel,20160530,   91,   99,   73
  Hupsel,20160531,   76,   98,   52
  Hupsel,20160601,   83,   98,   67
  Hupsel,20160602,   87,   99,   70
  Hupsel,20160603,   86,  100,   58
  Hupsel,20160604,   72,  100,   44
  Hupsel,20160605,   71,   95,   41
  Hupsel,20160606,   80,  100,   50
  Hupsel,20160607,   80,   94,   61
  Hupsel,20160608,   80,   99,   54
  Hupsel,20160609,   71,   90,   44
  Hupsel,20160610,   69,   96,   50
  Hupsel,20160611,   73,   88,   51
  Hupsel,20160612,   84,   99,   59
  Hupsel,20160613,   90,   99,   72
  Hupsel,20160614,   87,  100,   69
  Hupsel,20160615,   88,   99,   69
  Hupsel,20160616,   79,  100,   49
  Hupsel,20160617,   90,  100,   67
  Hupsel,20160618,   86,   99,   64
  Hupsel,20160619,   78,   97,   55
  Hupsel,20160620,   84,   98,   67
  Hupsel,20160621,   92,   99,   79
  Hupsel,20160622,   81,   99,   61
  Hupsel,20160623,   78,   95,   57
  Hupsel,20160624,   87,   98,   76
  Hupsel,20160625,   94,  100,   86
  Hupsel,20160626,   85,   99,   64
  Hupsel,20160627,   91,  100,   79
  Hupsel,20160628,   76,  100,   59
  Hupsel,20160629,   80,   99,   55
  Hupsel,20160630,   86,   97,   76
  Hupsel,20160701,   93,   99,   76
  Hupsel,20160702,   77,   92,   55
  Hupsel,20160703,   82,  100,   58
  Hupsel,20160704,   80,  100,   55
  Hupsel,20160705,   84,  100,   70
  Hupsel,20160706,   78,  100,   55
  Hupsel,20160707,   74,  100,   51
  Hupsel,20160708,   82,   98,   63
  Hupsel,20160709,   78,  100,   62
  Hupsel,20160710,   72,   95,   49
  Hupsel,20160711,   70,   87,   56
  Hupsel,20160712,   83,  100,   60
  Hupsel,20160713,   86,   98,   65
  Hupsel,20160714,   81,   98,   56
  Hupsel,20160715,   74,   92,   56
  Hupsel,20160716,   83,   97,   76
  Hupsel,20160717,   79,  100,   58
  Hupsel,20160718,   74,  100,   41
  Hupsel,20160719,   59,   99,   28
  Hupsel,20160720,   65,  100,   30
  Hupsel,20160721,   79,  100,   57
  Hupsel,20160722,   86,  100,   66
  Hupsel,20160723,   88,  100,   65
