  place,date,   HumidMean,   HumidMax,   HumidMin
  Beerta,20161210,   96,  100,   90
  Beerta,20161211,   91,   99,   83
  Beerta,20161212,   96,   99,   90
  Beerta,20161213,   97,  100,   93
  Beerta,20161214,   99,  100,   97
  Beerta,20161215,   93,   97,   88
  Beerta,20161216,   92,   95,   85
  Beerta,20161217,   95,   98,   92
  Beerta,20161218,   95,   99,   91
  Beerta,20161219,   92,   98,   84
  Beerta,20161220,   93,   95,   91
  Beerta,20161221,   91,   98,   83
  Beerta,20161222,   95,   97,   90
  Beerta,20161223,   93,   98,   82
  Beerta,20161224,   83,   94,   77
  Beerta,20161225,   89,   95,   83
  Beerta,20161226,   77,   91,   64
  Beerta,20161227,   86,   96,   75
  Beerta,20161228,   89,  100,   79
  Beerta,20161229,   95,  100,   81
  Beerta,20161230,   95,  100,   88
  Beerta,20161231,   99,  100,   98
